"Date","Expanded_RB_HF","Expanded_RB_LF","Expanded_RB_LF_LR","Expanded_LB_HF","Expanded_LB_LF","Expanded_LB_LF_LR","Proportion_of_Fish_in_LF_on_RB","Proportion_of_Fish_in_LF_on_LB","Total_Proportion_of_Fish_in_LF","Total_Expanded_Count_RB","Total_Expanded_Count_LB","Cumulative_RB","Cumulative_LB","Sockeye_Caught","Chinook_Adults_Caught","Chinook_Jacks_Caught","Coho_Caught","Pink_Caught","Chum_Caught","Steelhead_Caught","Total_Caught","Proportion_Sockeye","Proportion_Chinook_Adults","Proportion_Chinook_Jacks","Proportion_Coho","Proportion_Pink","Proportion_Chum","Proportion_Steelhead","Daily_Sockeye","Daily_Chinook_Adults","Daily_Chinook_Jacks","Daily_Coho","Daily_Pink","Daily_Chum","Daily_Steelhead","Cumulative_Sockeye","Cumulative_Chinook_Adults","Cumulative_Chinook_Jacks","Cumulative_Coho","Cumulative_Pink","Cumulative_Chum","Cumulative_Steelhead","Expanded_Daily_Total_RB_LB","Cumulative_Total_RB_LB","NA"
"Date","Expanded RB HF","Expanded RB LF","Expanded RB LF LR","Expanded LB HF","Expanded LB LF","Expanded LB LF LR","Proportion of Fish in LF on RB","Proportion of Fish in LF on LB","Total Proportion of Fish in LF","Total Expanded Count RB","Total Expanded Count LB","Cumulative RB","Cumulative LB","Sockeye Caught","Chinook Adults Caught","Chinook Jacks Caught","Coho Caught","Pink Caught","Chum Caught","Steelhead Caught","Total Caught","Proportion Sockeye","Proportion Chinook Adults","Proportion Chinook Jacks","Proportion Coho","Proportion Pink","Proportion Chum","Proportion Steelhead","Daily Sockeye","Daily Chinook Adults","Daily Chinook Jacks","Daily Coho","Daily Pink","Daily Chum","Daily Steelhead","Cumulative Sockeye","Cumulative Chinook Adults","Cumulative Chinook Jacks","Cumulative Coho","Cumulative Pink","Cumulative Chum","Cumulative Steelhead","Expanded Daily Total RB + LB","Cumulative Total RB + LB",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FN Fisheries"
"45161","25476","5388","432","21195","10137","2826","0.18596625766871167","0.37950114175303001","0.28696489137409481","31296","34158","403368.26282051281","527263.60606060608","48","13","2","0","6","0","0","69","0.69565217391304346","0.18840579710144928","2.8985507246376812E-2","0","8.6956521739130432E-2","0","0","45533.217391304344","12331.913043478262","1897.2173913043478","0","5691.652173913043","0","0","727180.56165932654","166392.37651952953","19360.394548809749","0","17698.536153453184","0","0","65454","930631.86888111895","1"
"45162","29484","2154","444","23706","4329","450","8.0979988778754439E-2","0.16777251184834124","0.12179899945514884","32082","28485","435450.26282051281","555748.60606060608","11","3","0","0","2","0","0","16","0.6875","0.1875","0","0","0.125","0","0","41639.8125","11356.3125","0","0","7570.875","0","0","768820.37415932654","177748.68901952953","19360.394548809749","0","25269.411153453184","0","0","60567","991198.86888111895",NA
"45163","44802","1326","204","58809","3756","594","3.3022533022533024E-2","6.8873794708592603E-2","5.370304408581527E-2","46332","63159","481782.26282051281","618907.60606060608","29","24","1","0","7","0","0","61","0.47540983606557374","0.39344262295081966","1.6393442622950821E-2","0","0.11475409836065574","0","0","52053.098360655735","43078.426229508194","1794.9344262295083","0","12564.540983606557","0","0","820873.47251998226","220827.11524903771","21155.328975039258","0","37833.952137059743","0","0","109491","1100689.8688811189","1"
"45164","69129","8040","402","63985.5","11100","1242","0.10882933054878756","0.16169794634961188","0.13505004922075264","77571","76327.5","559353.26282051275","695235.10606060608","58","22","2","0","41","0","0","123","0.47154471544715448","0.17886178861788618","1.6260162601626018E-2","0","0.33333333333333331","0","0","72570.024390243911","27526.560975609755","2502.4146341463415","0","51299.5","0","0","893443.49691022618","248353.67622464747","23657.7436091856","0","89133.452137059736","0","0","153898.5","1254588.3688811189","1"
"45165","54927","5424","186","92005.5","10767","882","9.267059814658804E-2","0.11238296456014935","0.10511506381268214","60537","103654.5","619890.26282051275","798889.60606060608","27","29","2","0","45","0","0","103","0.26213592233009708","0.28155339805825241","1.9417475728155338E-2","0","0.43689320388349512","0","0","43040.490291262133","46228.674757281551","3188.1844660194174","0","71734.150485436883","0","0","936483.98720148834","294582.35098192899","26845.928075205018","0","160867.6026224966","0","0","164191.5","1418779.8688811189","1"
"45166","48141","1989","30","62922","2748","120","4.0251196172248802E-2","4.3593251253989967E-2","4.2147477360931433E-2","50160","65790","670050.26282051275","864679.60606060608","20","21","3","0","22","0","0","66","0.30303030303030304","0.31818181818181818","4.5454545454545456E-2","0","0.33333333333333331","0","0","35136.36363636364","36893.181818181816","5270.454545454546","0","38650","0","0","971620.35083785199","331475.53280011081","32116.382620659562","0","199517.6026224966","0","0","115950","1534729.8688811189",NA
"45167","41073","1434","30","39387","1653","18","3.4417095704915718E-2","4.0698524039164109E-2","3.7502242957114663E-2","42537","41058","712587.26282051275","905737.60606060608","25","17","2","0","43","0","0","87","0.28735632183908044","0.19540229885057472","2.2988505747126436E-2","0","0.4942528735632184","0","0","24021.551724137931","16334.655172413793","1921.7241379310344","0","41317.068965517239","0","0","995641.90256198996","347810.18797252461","34038.106758590598","0","240834.67158801385","0","0","83595","1618324.8688811189","1"
"45168","59364","1977","48","22122","849","30","3.2986365635537314E-2","3.8215729750880396E-2","3.4411660149306793E-2","61389","23001","773976.26282051275","928738.60606060608","10","15","0","0","66","0","0","91","0.10989010989010989","0.16483516483516483","0","0","0.72527472527472525","0","0","9273.6263736263736","13910.43956043956","0","0","61205.934065934067","0","0","1004915.5289356164","361720.62753296416","34038.106758590598","0","302040.60565394792","0","0","84390","1702714.8688811189","1"
"45169","95310","1809","6","83139","1413","90","1.8687258687258686E-2","1.7757141844474373E-2","1.825413853999901E-2","97125","84642","871101.26282051275","1013380.6060606061","13","9","1","0","52","0","0","75","0.17333333333333334","0.12","1.3333333333333334E-2","0","0.69333333333333336","0","0","31506.280000000002","21812.04","2423.56","0","126025.12000000001","0","0","1036421.8089356164","383532.66753296414","36461.666758590596","0","428065.72565394791","0","0","181767","1884481.8688811189",NA
"45170","130038","1833","6","184218","2295","222","1.3944812211378785E-2","1.3478994296730662E-2","1.3671801438740538E-2","131877","186735","1002978.2628205128","1200115.606060606","4","8","0","0","62","0","0","74","5.4054054054054057E-2","0.10810810810810811","0","0","0.83783783783783783","0","0","17222.27027027027","34444.54054054054","0","0","266945.18918918917","0","0","1053644.0792058867","417977.20807350468","36461.666758590596","0","695010.91484313714","0","0","318612","2203093.8688811189","1"
"45171","209154","6168","132","72192","3111","360","2.9240580355899635E-2","4.5874469687958448E-2","3.3563824853924708E-2","215454","75663","1218432.2628205128","1275778.606060606","4","4","2","1","71","0","0","82","4.878048780487805E-2","4.878048780487805E-2","2.4390243902439025E-2","1.2195121951219513E-2","0.86585365853658536","0","0","14200.829268292684","14200.829268292684","7100.414634146342","3550.207317073171","252064.71951219512","0","0","1067844.9084741795","432178.03734179738","43562.081392736938","3550.207317073171","947075.63435533224","0","0","291117","2494210.8688811189","1"
