"drift_id","species_id","life_history_type_id","catch_count","retention_type","marked_fish_type_id","created_at"
311,15,1,"4","retained",1,2025-09-09 12:27:46.220009
312,15,1,"11","retained",1,2025-09-09 12:27:46.220009
313,15,1,"7","retained",1,2025-09-09 12:27:46.220009
314,15,1,"1","retained",1,2025-09-09 12:27:46.220009
315,15,1,"2","retained",1,2025-09-09 12:27:46.220009
316,15,1,"11","retained",1,2025-09-09 12:27:46.220009
317,15,1,"2","retained",1,2025-09-09 12:27:46.220009
318,15,1,"2","retained",1,2025-09-09 12:27:46.220009
319,15,1,"1","retained",1,2025-09-09 12:27:46.220009
320,15,1,"5","retained",1,2025-09-09 12:27:46.220009
323,15,1,"8","retained",1,2025-09-09 12:27:46.220009
324,15,1,"1","retained",1,2025-09-09 12:27:46.220009
325,15,1,"2","retained",1,2025-09-09 12:27:46.220009
326,15,1,"6","retained",1,2025-09-09 12:27:46.220009
329,15,1,"3","retained",1,2025-09-09 12:27:46.220009
330,15,1,"2","retained",1,2025-09-09 12:27:46.220009
331,15,1,"2","retained",1,2025-09-09 12:27:46.220009
332,15,1,"3","retained",1,2025-09-09 12:27:46.220009
334,15,1,"3","retained",1,2025-09-09 12:27:46.220009
335,15,1,"1","retained",1,2025-09-09 12:27:46.220009
336,15,1,"2","retained",1,2025-09-09 12:27:46.220009
337,15,1,"2","retained",1,2025-09-09 12:27:46.220009
338,15,1,"3","retained",1,2025-09-09 12:27:46.220009
339,15,1,"1","retained",1,2025-09-09 12:27:46.220009
342,15,1,"4","retained",1,2025-09-09 12:27:46.220009
343,15,1,"1","retained",1,2025-09-09 12:27:46.220009
344,15,1,"1","retained",1,2025-09-09 12:27:46.220009
346,15,1,"1","retained",1,2025-09-09 12:27:46.220009
347,15,1,"1","retained",1,2025-09-09 12:27:46.220009
348,15,1,"1","retained",1,2025-09-09 12:27:46.220009
349,15,1,"1","retained",1,2025-09-09 12:27:46.220009
351,15,1,"2","retained",1,2025-09-09 12:27:46.220009
354,15,1,"4","retained",1,2025-09-09 12:27:46.220009
355,15,1,"1","retained",1,2025-09-09 12:27:46.220009
357,15,1,"3","retained",1,2025-09-09 12:27:46.220009
358,15,1,"1","retained",1,2025-09-09 12:27:46.220009
360,15,1,"3","retained",1,2025-09-09 12:27:46.220009
363,15,1,"1","retained",1,2025-09-09 12:27:46.220009
364,15,1,"1","retained",1,2025-09-09 12:27:46.220009
367,15,1,"4","retained",1,2025-09-09 12:27:46.220009
368,15,1,"5","retained",1,2025-09-09 12:27:46.220009
372,15,1,"1","retained",1,2025-09-09 12:27:46.220009
373,15,1,"7","retained",1,2025-09-09 12:27:46.220009
374,15,1,"1","retained",1,2025-09-09 12:27:46.220009
377,15,1,"4","retained",1,2025-09-09 12:27:46.220009
379,15,1,"2","retained",1,2025-09-09 12:27:46.220009
380,15,1,"7","retained",1,2025-09-09 12:27:46.220009
381,15,1,"1","retained",1,2025-09-09 12:27:46.220009
382,15,1,"2","retained",1,2025-09-09 12:27:46.220009
386,15,1,"7","retained",1,2025-09-09 12:27:46.220009
387,15,1,"2","retained",1,2025-09-09 12:27:46.220009
390,15,1,"4","retained",1,2025-09-09 12:27:46.220009
393,15,1,"4","retained",1,2025-09-09 12:27:46.220009
395,15,1,"1","retained",1,2025-09-09 12:27:46.220009
398,15,1,"3","retained",1,2025-09-09 12:27:46.220009
399,15,1,"2","retained",1,2025-09-09 12:27:46.220009
403,15,1,"4","retained",1,2025-09-09 12:27:46.220009
404,15,1,"2","retained",1,2025-09-09 12:27:46.220009
405,15,1,"1","retained",1,2025-09-09 12:27:46.220009
406,15,1,"2","retained",1,2025-09-09 12:27:46.220009
407,15,1,"4","retained",1,2025-09-09 12:27:46.220009
412,15,1,"2","retained",1,2025-09-09 12:27:46.220009
414,15,1,"3","retained",1,2025-09-09 12:27:46.220009
418,15,1,"1","retained",1,2025-09-09 12:27:46.220009
431,15,1,"1","retained",1,2025-09-09 12:27:46.220009
433,15,1,"1","retained",1,2025-09-09 12:27:46.220009
434,15,1,"1","retained",1,2025-09-09 12:27:46.220009
436,15,1,"1","retained",1,2025-09-09 12:27:46.220009
442,15,1,"1","retained",1,2025-09-09 12:27:46.220009
457,15,1,"1","retained",1,2025-09-09 12:27:46.220009
474,15,1,"1","retained",1,2025-09-09 12:27:46.220009
