"date","sheet_name","total_up","total_down","total_net_up","total_salmon_hour","avg_duration","created_at","updated_at","updated_by"
2023-07-31,"HF",2360,27,2333,6999,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-31,"LF",485,27,458,1374,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-31,"LR",38,5,33,198,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-01,"HF",2671,24,2647,7941,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-01,"LF",539,27,512,1536,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-01,"LR",19,2,17,102,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-02,"HF",3222,9,3213,9639,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-02,"LF",584,15,569,1707,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-02,"LR",31,8,23,138,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-03,"HF",3461,13,3370,10110,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-03,"LF",470.5,10,460.5,1381.5,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-03,"LR",30,3,27,162,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-04,"HF",3130,6,3124,9372,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-04,"LF",725,12,713,2139,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-04,"LR",42,7,35,210,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-05,"HF",4146,15,4131,12393,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-05,"LF",652,12,640,1920,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-05,"LR",41,12,29,174,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-06,"HF",4791,7,4784,14352,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-06,"LF",651,20,631,1893,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-06,"LR",42,12,30,180,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-07,"HF",5043,16,5027,15112.6666666667,19.953488372093,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-07,"LF",681,27,654,1989,19.7674418604651,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-07,"LR",36,18,18,108,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-08,"HF",7191,37,7154,21462,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-08,"LF",862,17,845,2535,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-08,"LR",49,3,46,276,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-09,"HF",9195,20,9175,27525,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-09,"LF",1106,20,1086,3258,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-09,"LR",70,1,69,414,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-10,"HF",8073,17,8056,24168,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-10,"LF",1211,30,1181,3543,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-10,"LR",55,7,48,288,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-11,"HF",5277,53,5224,15672,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-11,"LF",1092,52,1040,3120,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-11,"LR",79,8,71,426,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-12,"HF",5208,18,5190,15570,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-12,"LF",2320,39,2281,6843,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-12,"LR",140,7,133,798,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-13,"HF",9441,14,9427,28482.2727272727,19.8,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-13,"LF",1385,19,1366,4098,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-13,"LR",77,2,75,450,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-14,"HF",8998,26,8972,26916,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-14,"LF",811,28,783,2349,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-14,"LR",39,5,34,204,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-15,"HF",12286,31,12255,36765,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-15,"LF",1059,34,1025,3075,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-15,"LR",51,8,43,258,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-16,"HF",9467,13,9454,28362,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-16,"LF",1277,36,1241,3723,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-16,"LR",70,6,64,384,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-17,"HF",9340,15,9325,27975,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-17,"LF",1064,15,1049,3147,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-17,"LR",56,5,51,306,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-18,"HF",10005,38,9967,29901,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-18,"LF",1284,33,1251,3753,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-18,"LR",110,5,105,630,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-19,"HF",8191.5,45.5,8146,24438,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-19,"LF",4013,41,3972,11916,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-19,"LR",287,7,280,1680,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
